Date,Name,Year,Letterboxd URI
2023-01-04,Black Magic M-66,1987,https://boxd.it/25c
2023-01-04,Princess Arete,2001,https://boxd.it/io0
2023-01-04,Walkabout,1971,https://boxd.it/1bsG
2023-01-04,S.O.B.,1981,https://boxd.it/1sh6
2023-01-04,On the Silver Globe,1988,https://boxd.it/1sAM
2023-01-04,Class of Nuke 'Em High,1986,https://boxd.it/1tEU
2023-01-04,The Adventures of Mark Twain,1985,https://boxd.it/1Ekw
2023-01-04,The Legend of the Swordsman,1992,https://boxd.it/1GvQ
2023-01-04,Soldier Blue,1970,https://boxd.it/1Odq
2023-01-04,Lady in the Water,2006,https://boxd.it/1Y1E
2023-01-04,The Gift,2000,https://boxd.it/27ys
2023-01-04,Exodus,1960,https://boxd.it/27O6
2023-01-04,Don't Look Now,1973,https://boxd.it/29fC
2023-01-04,Short Cuts,1993,https://boxd.it/29Nk
2023-01-04,The Doll,1968,https://boxd.it/2Qkg
2023-01-04,The Congress,2013,https://boxd.it/4Ota
2023-01-04,The Boxtrolls,2014,https://boxd.it/5grw
2023-01-04,Shamshera,2022,https://boxd.it/jFYe
2023-01-04,"La Commune (Paris, 1871)",2000,https://boxd.it/9rO
2023-01-04,Welcome to the Space Show,2010,https://boxd.it/djE
2023-01-04,Nasu: Summer in Andalusia,2003,https://boxd.it/f2K
2023-01-04,The Mysterious Geographic Explorations of Jasper Morello,2005,https://boxd.it/yck
2023-01-04,The Prize of Peril,1983,https://boxd.it/BN4
2023-01-04,Hiruko the Goblin,1991,https://boxd.it/163c
2023-01-04,The Five Star Stories,1989,https://boxd.it/1dX2
2023-01-04,A Tree of Palme,2002,https://boxd.it/1ldQ
2023-01-04,Overnight,2003,https://boxd.it/1sHS
2023-01-04,Hellzapoppin',1941,https://boxd.it/1FD0
2023-01-04,Withnail & I,1987,https://boxd.it/1Qa4
2023-01-04,Return to Oz,1985,https://boxd.it/1QHM
2023-01-04,Thunderheart,1992,https://boxd.it/1S4s
2023-01-04,Kalifornia,1993,https://boxd.it/1V6m
2023-01-04,Wolf Creek,2005,https://boxd.it/1XC0
2023-01-04,Heathers,1989,https://boxd.it/26x4
2023-01-04,Velvet Goldmine,1998,https://boxd.it/2878
2023-01-04,The Hustler,1961,https://boxd.it/298G
2023-01-04,The Last Emperor,1987,https://boxd.it/29Ji
2023-01-04,La bostella,2000,https://boxd.it/2oRc
2023-01-04,Extraterrestrial,2011,https://boxd.it/2DkW
